signal,mean_IC,ICIR,positive_ratio
CMM,0.02794839237153956,0.29402507678705686,0.6923076923076923
SM,-0.008352438397044734,-0.05435765352170672,0.5
CMM_rank,0.04608238489412179,0.3834313724546448,0.7307692307692307
SM_rank,-0.028632631253306028,-0.17543631465186119,0.5
